,Compound Score,Date,Neg Score,Neu Score,Pos Score,Source Acc.,Tweet
65,-0.7964,03/25/18,0.307,0.693,0.0,CBSNews,"Democrats and LGBT groups are outraged over President Trump's transgender military ban, and the GOP is silent:… https://t.co/GO86eTgBgB"
66,-0.4019,03/25/18,0.153,0.847,0.0,CBSNews,"""Alien"" skeleton found in Chile is actually a human fetus with rare bone disorder, researchers say… https://t.co/xldHFGwACR"
67,0.4404,03/25/18,0.0,0.791,0.209,CBSNews,Attorney General Jeff Sessions announces rule effectively banning bump stocks https://t.co/2IVmsB2P7v https://t.co/icAJgp4sOv
68,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Who pledged donations to #MarchForOurLives? https://t.co/4XR6tSiF8h https://t.co/rseExELCeT
69,-0.296,03/25/18,0.262,0.583,0.155,CBSNews,"""Are things pretty dire? Yes"": Reports see a lonelier planet with fewer plants, animals https://t.co/0FcKDoRPQI https://t.co/I2WbzDGBce"
70,0.6908,03/25/18,0.107,0.481,0.412,CBSNews,"Sacramento Kings owner says team respects ""people's abilities to protest peacefully"" https://t.co/G10tgy56Hl https://t.co/hdRtE83UH5"
71,-0.3182,03/25/18,0.15,0.85,0.0,CBSNews,Teen who lost his hands makes 3-point shots on the basketball court https://t.co/lb6a6SRKHl https://t.co/3sBm546BHj
72,0.296,03/25/18,0.0,0.784,0.216,CBSNews,#DeleteFacebook: Elon Musk and others join movement https://t.co/NgTWxV17k3 https://t.co/XiYqlzQxhq
73,-0.3818,03/25/18,0.198,0.676,0.126,CBSNews,Why do so many golden retrievers get cancer? One massive study hopes to find out https://t.co/BGNEtqFWft https://t.co/YHFazUAZPg
74,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Michael Bennett, Philadelphia Eagles player, indicted for allegedly shoving paraplegic worker… https://t.co/OqGZ6XxOB7"
75,-0.2732,03/25/18,0.192,0.674,0.135,CBSNews,"Iranian hackers stealing and ""taking credit"" for our work, FBI deputy director says https://t.co/N4k9fZF3yp https://t.co/8nmReYrhJ1"
76,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Small counter-demonstrations take place amid #MarchForOurLives rallies https://t.co/5VlAUk3oOR https://t.co/w84s3VB4ru
77,0.0,03/25/18,0.0,1.0,0.0,CBSNews,How the White House responded to the #MarchForOurLives rallies https://t.co/zKAmzd4dDS https://t.co/eOxcAtX9x6
78,0.34,03/25/18,0.0,0.806,0.194,CBSNews,"Who is John Bolton, the new national security adviser? https://t.co/rGI7LnvYno https://t.co/A02wsmVPNI"
